review,sentiment
Absolutely love this product!,positive
Absolutely love this product! Disappointed.,positive
Absolutely love this product! Not bad at all.,positive
Absolutely love this product! Super fast delivery.,positive
Absolutely love this product! Thank you.,positive
Absolutely love this product! Worth it.,positive
Absolutely love this product!.,positive
Absolutely worth the price.,positive
Alright,neutral
Amazing,positive
Amazing service and quality.,positive
Annoying experience.,negative
Arrived damaged and late. Not as expected.,negative
Arrived damaged and late. Not bad at all.,negative
Arrived damaged and late. Thank you.,negative
Arrived damaged and late. Will buy again.,negative
Arrived damaged and late. Worth it.,negative
Arrived damaged and late..,negative
Average,neutral
Average quality.,neutral
Awesome,positive
Awful,negative
Bad,negative
Badly packed.,negative
Basic,neutral
Basic but functional.,neutral
Brilliant,positive
Brilliant execution.,positive
Broke after first use.,negative
Broken,negative
Buggy,negative
Class apart.,positive
Clumsy and ineffective.,negative
Completely useless.,negative
Could be better.,neutral
Customer service was outstanding. Disappointed.,positive
Customer service was outstanding. Not as expected.,positive
Customer service was outstanding. Thank you.,positive
Customer service was outstanding. Will buy again.,positive
Customer service was outstanding. Worth it.,positive
Customer service was outstanding.!,positive
Customer service was outstanding..,positive
Customer support was unhelpful.,negative
Customer support was unhelpful. Disappointed.,negative
Customer support was unhelpful. Not bad at all.,negative
Customer support was unhelpful. Super fast delivery.,negative
Customer support was unhelpful. Will buy again.,negative
Customer support was unhelpful. Worth it.,negative
Customer support was unhelpful.!,negative
Customer support was unhelpful..,negative
Customer-friendly and smooth.,positive
Damaged,negative
Decent,neutral
Decent experience.,neutral
Decent for the price.,neutral
Decent for the price. Disappointed.,neutral
Decent for the price. Not as expected.,neutral
Decent for the price. Not bad at all.,neutral
Decent for the price. Super fast delivery.,neutral
Decent for the price. Thank you.,neutral
Decent for the price. Will buy again.,neutral
Decent for the price. Worth it.,neutral
Decent for the price.!,neutral
Decent for the price..,neutral
Defective,negative
Delayed and defective.,negative
Delivery on point.,positive
Dependable choice.,positive
Disheartening purchase.,negative
Embarrassingly bad.,negative
Exceeded expectations!,positive
Exceeded my expectations.,positive
Exceeded my expectations. Disappointed.,positive
Exceeded my expectations. Not as expected.,positive
Exceeded my expectations. Super fast delivery.,positive
Exceeded my expectations. Thank you.,positive
Exceeded my expectations. Will buy again.,positive
Exceeded my expectations. Worth it.,positive
Exceeded my expectations..,positive
Excellent,positive
Excellent product design.,positive
Expected performance.,neutral
Extremely dissatisfied.,negative
Extremely dissatisfied. Disappointed.,negative
Extremely dissatisfied. Not as expected.,negative
Extremely dissatisfied. Not bad at all.,negative
Extremely dissatisfied. Super fast delivery.,negative
Extremely dissatisfied. Worth it.,negative
Extremely dissatisfied.!,negative
Extremely dissatisfied..,negative
Fails expectations.,negative
Fair enough.,neutral
Fantastic,positive
Fantastic quality and service.,positive
Fantastic quality and service. Disappointed.,positive
Fantastic quality and service. Super fast delivery.,positive
Fantastic quality and service. Thank you.,positive
Fantastic quality and service. Worth it.,positive
Fantastic quality and service.!,positive
Fantastic quality and service..,positive
Fast and reliable.,positive
Feels cheap.,negative
Fine,neutral
Fine for the price.,neutral
Flawed product.,negative
Flawless,positive
Frustrating process.,negative
Genuinely good.,positive
Good,neutral
Good as advertised.,positive
"Good choice, Iâ€™ll buy again.",positive
Great,positive
Great packaging and performance.,positive
Great value for money.,positive
Great value for money. Disappointed.,positive
Great value for money. Not as expected.,positive
Great value for money. Super fast delivery.,positive
Great value for money. Will buy again.,positive
Great value for money. Worth it.,positive
Great value for money.!,positive
Great value for money..,positive
Hate it,negative
High standard maintained.,positive
Highly recommend to everyone.,positive
Highly recommend to everyone. Not as expected.,positive
Highly recommend to everyone. Not bad at all.,positive
Highly recommend to everyone. Super fast delivery.,positive
Highly recommend to everyone. Thank you.,positive
Highly recommend to everyone. Will buy again.,positive
Highly recommend to everyone. Worth it.,positive
Highly recommend to everyone.!,positive
Highly recommend to everyone..,positive
Highly satisfied.,positive
Highly underwhelming performance.,negative
Horrible delivery service.,negative
I regret ordering this.,negative
I will definitely buy again.,positive
I will definitely buy again. Disappointed.,positive
I will definitely buy again. Not as expected.,positive
I will definitely buy again. Not bad at all.,positive
I will definitely buy again. Super fast delivery.,positive
I will definitely buy again. Thank you.,positive
I will definitely buy again. Will buy again.,positive
I will definitely buy again. Worth it.,positive
I will definitely buy again.!,positive
I will definitely buy again..,positive
Impressive support.,positive
Inaccurate description.,negative
It does the job.,neutral
It does the job. Disappointed.,neutral
It does the job. Not bad at all.,neutral
It does the job. Thank you.,neutral
It does the job. Will buy again.,neutral
It does the job..,neutral
"It's okay, nothing special.",neutral
"It's okay, nothing special. Disappointed.",neutral
"It's okay, nothing special. Not as expected.",neutral
"It's okay, nothing special. Not bad at all.",neutral
"It's okay, nothing special. Super fast delivery.",neutral
"It's okay, nothing special. Thank you.",neutral
"It's okay, nothing special. Will buy again.",neutral
"It's okay, nothing special. Worth it.",neutral
"It's okay, nothing special.!",neutral
Junk,negative
Just awful.,negative
Just okay.,neutral
Just what I expected.,neutral
Just what I expected. Disappointed.,neutral
Just what I expected. Not as expected.,neutral
Just what I expected. Super fast delivery.,neutral
Just what I expected. Thank you.,neutral
Just what I expected. Will buy again.,neutral
Just what I expected. Worth it.,neutral
Just what I expected.!,neutral
Just what I expected..,neutral
Loved it,positive
Loved it instantly!,positive
Low quality.,negative
Mediocre but usable.,neutral
Met expectations.,neutral
Met my expectations but nothing more.,neutral
Met my expectations but nothing more. Disappointed.,neutral
Met my expectations but nothing more. Not bad at all.,neutral
Met my expectations but nothing more. Super fast delivery.,neutral
Met my expectations but nothing more. Thank you.,neutral
Met my expectations but nothing more. Will buy again.,neutral
Met my expectations but nothing more. Worth it.,neutral
Met my expectations but nothing more.!,neutral
Met my expectations but nothing more..,neutral
Middle ground quality.,neutral
Minimal feedback.,neutral
Moderate,neutral
Neutral,neutral
Neutral experience overall.,neutral
Neutral experience overall. Disappointed.,neutral
Neutral experience overall. Not as expected.,neutral
Neutral experience overall. Not bad at all.,neutral
Neutral experience overall. Super fast delivery.,neutral
Neutral experience overall. Thank you.,neutral
Neutral experience overall. Will buy again.,neutral
Neutral experience overall. Worth it.,neutral
Neutral experience overall.!,neutral
Neutral experience overall..,neutral
Neutral feelings.,neutral
Nice,positive
No big complaints.,neutral
No major issues.,neutral
No strong feelings about it. Disappointed.,neutral
No strong feelings about it. Not as expected.,neutral
No strong feelings about it. Not bad at all.,neutral
No strong feelings about it. Super fast delivery.,neutral
No strong feelings about it. Thank you.,neutral
No strong feelings about it. Will buy again.,neutral
No strong feelings about it. Worth it.,neutral
No strong feelings about it..,neutral
No support at all.,negative
Not as shown.,negative
Not bad,neutral
"Not bad, not great either.",neutral
"Not bad, not great either. Not as expected.",neutral
"Not bad, not great either. Not bad at all.",neutral
"Not bad, not great either. Super fast delivery.",neutral
"Not bad, not great either. Thank you.",neutral
"Not bad, not great either. Will buy again.",neutral
"Not bad, not great either.!",neutral
"Not bad, not great either..",neutral
"Not bad, not great.",neutral
Not worth it.,negative
Not worth the money.,negative
Not worth the money. Disappointed.,negative
Not worth the money. Not bad at all.,negative
Not worth the money. Super fast delivery.,negative
Not worth the money. Will buy again.,negative
Not worth the money. Worth it.,negative
Not worth the money..,negative
Nothing short of brilliant.,positive
Nothing special.,neutral
Nothing wrong.,neutral
Okay,neutral
Okayish.,neutral
Ordinary,neutral
Outstanding value.,positive
Packaging was standard.,neutral
Packaging was standard. Disappointed.,neutral
Packaging was standard. Not as expected.,neutral
Packaging was standard. Not bad at all.,neutral
Packaging was standard. Super fast delivery.,neutral
Packaging was standard. Thank you.,neutral
Packaging was standard. Will buy again.,neutral
Packaging was standard. Worth it.,neutral
Packaging was standard.!,neutral
Packaging was standard..,neutral
Passable.,neutral
Pathetic,negative
Perfect,positive
Perfect in every way.,positive
Polished and premium.,positive
Poor,negative
Poor execution.,negative
Poor quality and bad service.,negative
Poor quality and bad service. Disappointed.,negative
Poor quality and bad service. Not as expected.,negative
Poor quality and bad service. Not bad at all.,negative
Poor quality and bad service. Super fast delivery.,negative
Poor quality and bad service. Thank you.,negative
Poor quality and bad service. Will buy again.,negative
Poor quality and bad service. Worth it.,negative
Poor quality and bad service.!,negative
Poor quality and bad service..,negative
Product arrived on time and in perfect condition.,positive
Product arrived on time and in perfect condition. Disappointed.,positive
Product arrived on time and in perfect condition. Not as expected.,positive
Product arrived on time and in perfect condition. Not bad at all.,positive
Product arrived on time and in perfect condition. Super fast delivery.,positive
Product arrived on time and in perfect condition. Will buy again.,positive
Product arrived on time and in perfect condition. Worth it.,positive
Product arrived on time and in perfect condition..,positive
Product stopped working after a week.,negative
Product stopped working after a week. Disappointed.,negative
Product stopped working after a week. Not as expected.,negative
Product stopped working after a week. Not bad at all.,negative
Product stopped working after a week. Super fast delivery.,negative
Product stopped working after a week. Thank you.,negative
Product stopped working after a week. Will buy again.,negative
Product stopped working after a week. Worth it.,negative
Product stopped working after a week.!,negative
Product was average.,neutral
Product was average. Disappointed.,neutral
Product was average. Not as expected.,neutral
Product was average. Will buy again.,neutral
Product was average. Worth it.,neutral
Product was average.!,neutral
Product was average..,neutral
Reasonable effort.,neutral
Refined and effective.,positive
Rich quality feel.,positive
Satisfactory.,neutral
highly satisfied,positive
Satisfied,positive
Highly Recommended.,positive
Satisfied with the product,positive
Serviceable.,neutral
Simple and effective.,positive
Simple and plain.,neutral
So-so.,neutral
Standard delivery.,neutral
Standard product.,neutral
Suits basic needs.,neutral
Super,positive
Superb detailing.,positive
Terrible,negative
Terrible experience overall.,negative
Terrible experience overall. Disappointed.,negative
Terrible experience overall. Not as expected.,negative
Terrible experience overall. Not bad at all.,negative
Terrible experience overall. Super fast delivery.,negative
Terrible experience overall. Will buy again.,negative
Terrible experience overall. Worth it.,negative
Terrible experience overall.!,negative
Terrible experience overall..,negative
Terrible experience!,negative
Terribly managed.,negative
Terrific,positive
The best I've ever used!,positive
The best I've ever used! Disappointed.,positive
The best I've ever used! Not as expected.,positive
The best I've ever used! Will buy again.,positive
The best I've ever used! Worth it.,positive
The best I've ever used!!,positive
Tolerable,neutral
Too costly for nothing.,negative
Top-notch,positive
Top-notch!,positive
Totally disappointed.,negative
Trash,negative
Truly remarkable experience.,positive
Trustworthy and consistent.,positive
Unreliable.,negative
Very disappointed with the product.,negative
Very disappointed with the product. Disappointed.,negative
Very disappointed with the product. Not as expected.,negative
Very disappointed with the product. Not bad at all.,negative
Very disappointed with the product. Super fast delivery.,negative
Very disappointed with the product. Thank you.,negative
Very disappointed with the product. Will buy again.,negative
Very disappointed with the product. Worth it.,negative
Very disappointed with the product.!,negative
Very disappointed with the product..,negative
Very happy with the purchase.,positive
Very happy with the purchase. Disappointed.,positive
Very happy with the purchase. Not as expected.,positive
Very happy with the purchase. Not bad at all.,positive
Very happy with the purchase. Thank you.,positive
Very happy with the purchase. Will buy again.,positive
Very happy with the purchase. Worth it.,positive
Very poor.,negative
Wasted my time and money.,negative
"Well done, team!",positive
Wonderful,positive
Won't be buying again.,negative
Won't be buying again. Not as expected.,negative
Won't be buying again. Not bad at all.,negative
Won't be buying again. Super fast delivery.,negative
Won't be buying again. Will buy again.,negative
Won't be buying again. Worth it.,negative
Won't be buying again.!,negative
Won't be buying again..,negative
Worked fine.,neutral
Worst,negative
Would not recommend to anyone.,negative
Would not recommend to anyone. Not bad at all.,negative
Would not recommend to anyone. Super fast delivery.,negative
Would not recommend to anyone. Thank you.,negative
Would not recommend to anyone. Worth it.,negative
Would not recommend to anyone.!,negative
Would not recommend to anyone..,negative
